Patrol ID,Type,Patrol Start Date,Patrol End Date,Station,Team,Objective,Mandate,Armed,Patrol Leg ID,Leader,Patrol Transport Type,Waypoint ID,Waypoint Date,Waypoint Time,X,Y,Last Modified,Last Modified By,Observation Category 0,Observation Category 1,Jenis satwa,Keterangan,Tindakan,Tipe temuan,Usia temuan
PB_April_000003,Ground,18-Apr-22,18-Apr-22,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,22,18-Apr-22,10:00:44 AM,109.912745,-1.017495,12/12/2022 16:00,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Diobservasi,Kotoran,Baru (dalam 1 minggu)
PB_April_000003,Ground,18-Apr-22,18-Apr-22,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,35,18-Apr-22,11:20:10 AM,109.9114333,-1.016796667,12/12/2022 16:00,smart smart,Satwa Liar,Tanda Satwa,Cucak Rawa - Pycnonotus zeylanicus,,Diobservasi,Bagian tubuh satwa,Baru (dalam 1 minggu)
PK_Juni_0004a,Ground,19-Jun-22,19-Jun-22,Pulau Kumbang,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Andri Andri,Jalan Kaki,10,19-Jun-22,8:58:57 AM,109.8623517,-1.071403333,12/12/2022 19:07,smart smart,Satwa Liar,Tanda Satwa,Babi Hutan - Sus scrofa,,Diobservasi,Kubangan,Cukup baru (1 - 2 minggu)
PK_Juni_0004a,Ground,19-Jun-22,19-Jun-22,Pulau Kumbang,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Andri Andri,Jalan Kaki,6,19-Jun-22,8:10:01 AM,109.8620117,-1.072705,12/12/2022 19:07,smart smart,Satwa Liar,Tanda Satwa,Babi Hutan - Sus scrofa,,Diobservasi,Kubangan,Lama (2 - 4 minggu)
PM_Okt_000005,Ground,26-Oct-22,26-Oct-22,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,10,26-Oct-22,10:10:49 AM,109.903705,-1.056356667,12/12/2022 15:45,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Diobservasi,Suara,Baru (dalam 1 minggu)
PM_Okt_000005,Ground,26-Oct-22,26-Oct-22,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,11,26-Oct-22,10:21:44 AM,109.9031117,-1.056408333,12/12/2022 15:45,smart smart,Satwa Liar,Tanda Satwa,Owa Kalimantan - Hylobates albibarbis,,Diobservasi,Suara,Baru (dalam 1 minggu)
PM_Okt_000005,Ground,26-Oct-22,26-Oct-22,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,5,26-Oct-22,8:52:02 AM,109.903805,-1.05857,12/12/2022 15:45,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Diobservasi,Bekas makan,Lama (2 - 4 minggu)
PM_Sept_005,Ground,2-Sep-22,2-Sep-22,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,6,2-Sep-22,11:28:37 AM,109.90616,-1.063138333,12/12/2022 15:47,smart smart,Satwa Liar,Tanda Satwa,Tupai,,Diobservasi,Suara,Baru (dalam 1 minggu)
PM_Sept_005,Ground,2-Sep-22,2-Sep-22,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,3,2-Sep-22,10:14:14 AM,109.906305,-1.063681667,12/12/2022 15:47,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Diobservasi,Sarang,Baru (dalam 1 minggu)
PB_Okt_000004,Ground,29-Oct-22,29-Oct-22,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,16,29-Oct-22,9:14:57 AM,109.854155,-1.035978333,12/12/2022 15:55,smart smart,Satwa Liar,Tanda Satwa,Beo - Gracula religiosa,,Diobservasi,Suara,Baru (dalam 1 minggu)
PB_Okt_000004,Ground,29-Oct-22,29-Oct-22,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,3,29-Oct-22,8:26:43 AM,109.8507033,-1.034576667,12/12/2022 15:55,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Diobservasi,Sarang,Lama (2 - 4 minggu)
PB_Okt_000004,Ground,29-Oct-22,29-Oct-22,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,5,29-Oct-22,8:28:12 AM,109.8510183,-1.034658333,12/12/2022 15:55,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Diobservasi,Sarang,Cukup lama (>1 bulan)
PB_Okt_000004,Ground,29-Oct-22,29-Oct-22,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,36,29-Oct-22,9:46:48 AM,109.8568317,-1.035406667,12/12/2022 15:55,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Diobservasi,Sarang,Cukup lama (>1 bulan)
PM_Desember_2022_000002,Ground,15-Dec-22,15-Dec-22,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,6,15-Dec-22,2:28:56 PM,109.9017067,-1.069185,1/3/2023 10:56,smart smart,Satwa Liar,Tanda Satwa,Beruang Madu - Helarctos malayanus,,Diobservasi,Bekas makan,Cukup baru (1 - 2 minggu)
PM_Desember_2022_000002,Ground,15-Dec-22,15-Dec-22,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,4,15-Dec-22,10:17:47 AM,109.9122517,-1.068265,1/3/2023 10:56,smart smart,Satwa Liar,Tanda Satwa,Beruang Madu - Helarctos malayanus,,Diobservasi,Bekas makan,Baru (dalam 1 minggu)
PK_Juni_0002,Ground,15-Jun-22,15-Jun-22,Pulau Kumbang,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Andri Andri,Jalan Kaki,3,15-Jun-22,8:27:16 AM,109.8635817,-1.07395,12/12/2022 16:09,smart smart,Satwa Liar,Tanda Satwa,Babi Hutan - Sus scrofa,,Diobservasi,Tapak,Cukup baru (1 - 2 minggu)
PK_Juni_0002,Ground,15-Jun-22,15-Jun-22,Pulau Kumbang,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Andri Andri,Jalan Kaki,5,15-Jun-22,8:34:27 AM,109.8636517,-1.073771667,12/12/2022 16:09,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Diobservasi,Sarang,Sangat lama (>3bulan)
PK_Juni_0002,Ground,15-Jun-22,15-Jun-22,Pulau Kumbang,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Andri Andri,Jalan Kaki,9,15-Jun-22,8:51:54 AM,109.864335,-1.073506667,12/12/2022 16:09,smart smart,Satwa Liar,Tanda Satwa,Babi Hutan - Sus scrofa,,Diobservasi,Kubangan,Cukup baru (1 - 2 minggu)
PK_Juni_0002,Ground,15-Jun-22,15-Jun-22,Pulau Kumbang,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Andri Andri,Jalan Kaki,15,15-Jun-22,9:43:38 AM,109.8652917,-1.072993333,12/12/2022 16:09,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Diobservasi,Kotoran,Lama (2 - 4 minggu)
PK_Juni_0002,Ground,15-Jun-22,15-Jun-22,Pulau Kumbang,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Andri Andri,Jalan Kaki,8,15-Jun-22,8:50:37 AM,109.864255,-1.073416667,12/12/2022 16:09,smart smart,Satwa Liar,Tanda Satwa,Babi Hutan - Sus scrofa,,Diobservasi,Tapak,Baru (dalam 1 minggu)
PK_Juni_0002,Ground,15-Jun-22,15-Jun-22,Pulau Kumbang,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Andri Andri,Jalan Kaki,10,15-Jun-22,8:54:15 AM,109.8643667,-1.073495,12/12/2022 16:09,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Diobservasi,Sarang,Cukup lama (>1 bulan)
PK_Juni_0002,Ground,15-Jun-22,15-Jun-22,Pulau Kumbang,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Andri Andri,Jalan Kaki,12,15-Jun-22,9:00:25 AM,109.864745,-1.073245,12/12/2022 16:09,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Diobservasi,Sarang,Lama (2 - 4 minggu)
PK_Juni_0002,Ground,15-Jun-22,15-Jun-22,Pulau Kumbang,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Andri Andri,Jalan Kaki,20,15-Jun-22,10:44:53 AM,109.865545,-1.07342,12/12/2022 16:09,smart smart,Satwa Liar,Tanda Satwa,Babi Hutan - Sus scrofa,,Diobservasi,Tapak,Baru (dalam 1 minggu)
PK_Juni_0002,Ground,15-Jun-22,15-Jun-22,Pulau Kumbang,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Andri Andri,Jalan Kaki,21,15-Jun-22,10:47:30 AM,109.8659317,-1.073531667,12/12/2022 16:09,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Diobservasi,Suara,Baru (dalam 1 minggu)
PK_Juni_0002,Ground,15-Jun-22,15-Jun-22,Pulau Kumbang,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Andri Andri,Jalan Kaki,22,15-Jun-22,10:49:59 AM,109.8658017,-1.073266667,12/12/2022 16:09,smart smart,Satwa Liar,Tanda Satwa,Babi Hutan - Sus scrofa,,Diobservasi,Gesekan badan,Baru (dalam 1 minggu)
NK_Mei_006,Ground,24-May-22,24-May-22,Nipah Kuning,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Juhari Juhari,Jalan Kaki,9,24-May-22,12:37:38 PM,109.9358083,-1.06821,12/12/2022 15:31,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Diobservasi,Sarang,Cukup lama (>1 bulan)
NK_Mei_006,Ground,24-May-22,24-May-22,Nipah Kuning,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Juhari Juhari,Jalan Kaki,15,24-May-22,2:12:35 PM,109.9375183,-1.06623,12/12/2022 15:31,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Diobservasi,Sarang,Lama (2 - 4 minggu)
NK_Mei_006,Ground,24-May-22,24-May-22,Nipah Kuning,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Juhari Juhari,Jalan Kaki,12,24-May-22,1:08:34 PM,109.93716,-1.066941667,12/12/2022 15:31,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Diobservasi,Sarang,Lama (2 - 4 minggu)
NK_Mei_006,Ground,24-May-22,24-May-22,Nipah Kuning,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Juhari Juhari,Jalan Kaki,11,24-May-22,12:53:34 PM,109.936985,-1.067136667,12/12/2022 15:31,smart smart,Satwa Liar,Tanda Satwa,Beruk Mentawai - Macaca pagensis,,Diobservasi,Bekas makan,Cukup baru (1 - 2 minggu)
NK_Mei_006,Ground,24-May-22,24-May-22,Nipah Kuning,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Juhari Juhari,Jalan Kaki,10,24-May-22,12:48:30 PM,109.9367083,-1.067206667,12/12/2022 15:31,smart smart,Satwa Liar,Tanda Satwa,Beruang Madu - Helarctos malayanus,,Diobservasi,Cakaran,Sangat lama (>3bulan)
