Patrol ID,Type,Patrol Start Date,Patrol End Date,Station,Team,Objective,Mandate,Armed,Patrol Leg ID,Leader,Patrol Transport Type,Waypoint ID,Waypoint Date,Waypoint Time,X,Y,Last Modified,Last Modified By,Observation Category 0,Observation Category 1,Jenis satwa,Keterangan,Tipe temuan,Usia temuan
NK_Maret_2023_000004,Ground,29-Mar-23,29-Mar-23,Nipah Kuning,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Juhari Juhari,Jalan Kaki,11,29-Mar-23,2:14:52 PM,109.9349533,-1.05268,11/8/2023 13:45,smart smart,Satwa Liar,Tanda Satwa,Beruk - Macaca nemestrina,,Bekas makan,Cukup baru (1 - 2 minggu)
NK_Maret_2023_000004,Ground,29-Mar-23,29-Mar-23,Nipah Kuning,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Juhari Juhari,Jalan Kaki,10,29-Mar-23,2:00:55 PM,109.9346533,-1.05208,11/8/2023 13:45,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Sarang,Cukup baru (1 - 2 minggu)
PB_September_2023_000004,Ground,17-Sep-23,17-Sep-23,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,3,17-Sep-23,8:43:38 AM,109.8777933,-1.023245,9/22/2023 9:05,smart smart,Satwa Liar,Tanda Satwa,Musang,,Kotoran,Baru (dalam 1 minggu)
PM_September_2023_000007,Ground,17-Sep-23,17-Sep-23,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,6,17-Sep-23,11:55:57 AM,109.8685617,-1.084993333,11/9/2023 9:35,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Sarang,Baru (dalam 1 minggu)
NK_April_2023_000014,Ground,16-Apr-23,16-Apr-23,Nipah Kuning,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Juhari Juhari,Jalan Kaki,6,16-Apr-23,1:08:07 PM,109.921775,-1.052158333,11/8/2023 13:44,smart smart,Satwa Liar,Tanda Satwa,Babi Hutan - Sus scrofa,,Kubangan,Lama (2 - 4 minggu)
PM_Juni_2023_000004,Ground,24-Jun-23,24-Jun-23,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,4,24-Jun-23,9:02:07 AM,109.9074,-1.062728333,11/9/2023 9:35,smart smart,Satwa Liar,Tanda Satwa,Beo - Gracula religiosa,,Suara,Baru (dalam 1 minggu)
PM_Juni_2023_000001,Ground,13-Jun-23,13-Jun-23,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,3,13-Jun-23,11:38:59 AM,109.90038,-1.056276667,11/9/2023 9:35,smart smart,Satwa Liar,Tanda Satwa,Owa Kalimantan - Hylobates albibarbis,,Suara,Baru (dalam 1 minggu)
PB_April_2023_000002,Ground,14-Apr-23,14-Apr-23,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,8,14-Apr-23,8:57:48 AM,109.8546733,-1.020828333,5/11/2023 11:39,smart smart,Satwa Liar,Tanda Satwa,Babi Hutan - Sus scrofa,,Tapak,Baru (dalam 1 minggu)
PK_Juli_2023_000007,Ground,10-Jul-23,10-Jul-23,Pulau Kumbang,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Dwi Dwi,Jalan Kaki,7,10-Jul-23,12:19:14 PM,109.8568233,-1.05196,11/9/2023 10:13,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Bekas makan,Baru (dalam 1 minggu)
PM_April_2023_000005,Ground,19-Apr-23,19-Apr-23,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,8,19-Apr-23,9:10:14 AM,109.8856767,-1.066931667,11/9/2023 9:35,smart smart,Satwa Liar,Tanda Satwa,Betet,,Suara,Baru (dalam 1 minggu)
PM_April_2023_000005,Ground,19-Apr-23,19-Apr-23,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,6,19-Apr-23,8:48:00 AM,109.8850233,-1.067986667,11/9/2023 9:35,smart smart,Satwa Liar,Tanda Satwa,Beruang Madu - Helarctos malayanus,,Bekas makan,Baru (dalam 1 minggu)
PM_April_2023_000005,Ground,19-Apr-23,19-Apr-23,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,5,19-Apr-23,8:29:53 AM,109.8852367,-1.070976667,11/9/2023 9:35,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Sarang,Cukup baru (1 - 2 minggu)
PB_Agustus_2023_000005,Ground,20-Aug-23,20-Aug-23,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,18,20-Aug-23,9:52:48 AM,109.8767333,-1.038386667,9/5/2023 22:54,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Sarang,Sangat lama (>3bulan)
PB_Agustus_2023_000005,Ground,20-Aug-23,20-Aug-23,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,11,20-Aug-23,9:21:39 AM,109.876875,-1.035563333,9/5/2023 22:54,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Sarang,Diatas 1 tahun
PB_Agustus_2023_000005,Ground,20-Aug-23,20-Aug-23,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,15,20-Aug-23,9:42:06 AM,109.8769567,-1.036981667,9/5/2023 22:54,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Sarang,Sangat lama (>3bulan)
NK_April_2023_000016,Ground,18-Apr-23,18-Apr-23,Nipah Kuning,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Juhari Juhari,Jalan Kaki,4,18-Apr-23,11:22:57 AM,109.9225983,-1.05108,11/8/2023 13:56,smart smart,Satwa Liar,Tanda Satwa,Babi Hutan - Sus scrofa,,Kubangan,Baru (dalam 1 minggu)
NK_April_2023_000016,Ground,18-Apr-23,18-Apr-23,Nipah Kuning,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Juhari Juhari,Jalan Kaki,3,18-Apr-23,11:08:32 AM,109.9219167,-1.052211667,11/8/2023 13:45,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Sarang,Baru (dalam 1 minggu)
PB_Oktober_2023_000003,Ground,22-Oct-23,22-Oct-23,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,28,22-Oct-23,9:22:28 AM,109.8583683,-1.028063333,11/4/2023 20:02,smart smart,Satwa Liar,Tanda Satwa,Rusa,,Bekas makan,Baru (dalam 1 minggu)
PB_Oktober_2023_000003,Ground,22-Oct-23,22-Oct-23,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,27,22-Oct-23,9:20:21 AM,109.8584217,-1.02801,11/4/2023 20:02,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Sarang,Cukup lama (>1 bulan)
PM_April_2023_000003,Ground,15-Apr-23,15-Apr-23,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,6,15-Apr-23,11:48:01 AM,109.908035,-1.060378333,11/9/2023 9:35,smart smart,Satwa Liar,Tanda Satwa,Beo - Gracula religiosa,,Suara,Baru (dalam 1 minggu)
PM_April_2023_000003,Ground,15-Apr-23,15-Apr-23,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,3,15-Apr-23,8:36:25 AM,109.9034167,-1.060061667,11/9/2023 9:35,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Bekas makan,Cukup lama (>1 bulan)
PM_April_2023_000003,Ground,15-Apr-23,15-Apr-23,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,10,15-Apr-23,3:15:15 PM,109.907505,-1.061431667,11/9/2023 9:35,smart smart,Satwa Liar,Tanda Satwa,Beo - Gracula religiosa,,Suara,Baru (dalam 1 minggu)
PM_April_2023_000003,Ground,15-Apr-23,15-Apr-23,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,9,15-Apr-23,2:46:58 PM,109.9069167,-1.061501667,11/9/2023 9:35,smart smart,Satwa Liar,Tanda Satwa,Burung,,Suara,Baru (dalam 1 minggu)
PM_April_2023_000003,Ground,15-Apr-23,15-Apr-23,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,5,15-Apr-23,10:02:58 AM,109.9078133,-1.061486667,11/9/2023 9:35,smart smart,Satwa Liar,Tanda Satwa,Burung,,Suara,Baru (dalam 1 minggu)
PM_April_2023_000003,Ground,15-Apr-23,15-Apr-23,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,4,15-Apr-23,8:41:29 AM,109.90392,-1.060313333,11/9/2023 9:35,smart smart,Satwa Liar,Tanda Satwa,Beruang Madu - Helarctos malayanus,,Bekas makan,Sangat lama (>3bulan)
PB_Oktober_2023_000006,Ground,25-Oct-23,25-Oct-23,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,14,25-Oct-23,9:03:42 AM,109.85127,-1.04221,11/3/2023 15:52,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Sarang,Cukup lama (>1 bulan)
