Patrol ID,Type,Patrol Start Date,Patrol End Date,Station,Team,Objective,Mandate,Armed,Patrol Leg ID,Leader,Patrol Transport Type,Waypoint ID,Waypoint Date,Waypoint Time,X,Y,Last Modified,Last Modified By,Observation Category 0,Observation Category 1,Jumlah,Satuan,Pelanggaran,Penyebab Kebakaran,Perlu tindak lanjut,Tindakan,Tipe temuan
PB_April_2023_000002,Ground,14-Apr-23,14-Apr-23,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,9,14-Apr-23,9:03:19 AM,109.8550983,-1.021618333,5/11/2023 11:13,smart smart,Aktivitas Manusia,Kebakaran Hutan dan Lahan,2,hektar,Ya,Tidak Tahu,Ya,Diobservasi,Bekas kebakaran
PM_September_2023_000003,Ground,11-Sep-23,11-Sep-23,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,3,11-Sep-23,9:08:41 AM,109.9161767,-1.096306667,11/9/2023 9:35,smart smart,Aktivitas Manusia,Kebakaran Hutan dan Lahan,3,hektar,Ya,Tidak Tahu,Ya,Diobservasi,Bekas kebakaran
PM_September_2023_000003,Ground,11-Sep-23,11-Sep-23,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,7,11-Sep-23,9:53:59 AM,109.91112,-1.103241667,11/9/2023 9:35,smart smart,Aktivitas Manusia,Kebakaran Hutan dan Lahan,0,hektar,Ya,Tidak Tahu,Ya,Diobservasi,Bekas kebakaran
PM_September_2023_000003,Ground,11-Sep-23,11-Sep-23,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,7,11-Sep-23,9:53:59 AM,109.91112,-1.103241667,11/9/2023 9:35,smart smart,Aktivitas Manusia,Kebakaran Hutan dan Lahan,2,hektar,Ya,Tidak Tahu,Ya,Diobservasi,Bekas kebakaran
PB_September_2023_000001,Ground,7-Sep-23,7-Sep-23,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,8,7-Sep-23,10:05:17 AM,109.8775067,-1.022603333,9/22/2023 9:13,smart smart,Aktivitas Manusia,Kebakaran Hutan dan Lahan,2,hektar,Ya,Tidak Tahu,Ya,Diobservasi,Masih terbakar
PB_September_2023_000001,Ground,7-Sep-23,7-Sep-23,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,3,7-Sep-23,8:34:55 AM,109.8786883,-1.020298333,9/22/2023 9:12,smart smart,Aktivitas Manusia,Kebakaran Hutan dan Lahan,2,hektar,Ya,Tidak Tahu,Ya,Diobservasi,Masih terbakar
PM_September_2023_000006,Ground,16-Sep-23,16-Sep-23,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,4,16-Sep-23,2:20:45 PM,109.88814,-1.072223333,11/9/2023 9:35,smart smart,Aktivitas Manusia,Kebakaran Hutan dan Lahan,3,hektar,Ya,Tidak Tahu,Ya,Diobservasi,Potensi terbakar
PM_September_2023_000006,Ground,16-Sep-23,16-Sep-23,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,5,16-Sep-23,2:25:38 PM,109.8872267,-1.072118333,11/9/2023 9:35,smart smart,Aktivitas Manusia,Kebakaran Hutan dan Lahan,3,hektar,Ya,Tidak Tahu,Ya,Diobservasi,Potensi terbakar
PM_September_2023_000006,Ground,16-Sep-23,16-Sep-23,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,3,16-Sep-23,11:30:17 AM,109.8912133,-1.072835,11/9/2023 9:35,smart smart,Aktivitas Manusia,Kebakaran Hutan dan Lahan,3,hektar,Ya,Tidak Tahu,Ya,Diobservasi,Potensi terbakar
NK_Januari_2023_000008,Ground,15-Jan-23,15-Jan-23,Nipah Kuning,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Juhari Juhari,Jalan Kaki,17,15-Jan-23,4:10:17 PM,109.93781,-1.055765,11/8/2023 13:45,smart smart,Aktivitas Manusia,Kebakaran Hutan dan Lahan,1,hektar,Ya,Tidak Tahu,Ya,Diobservasi,Bekas kebakaran
