Patrol ID,Type,Patrol Start Date,Patrol End Date,Station,Team,Objective,Mandate,Armed,Patrol Leg ID,Leader,Patrol Transport Type,Waypoint ID,Waypoint Date,Waypoint Time,X,Y,Last Modified,Last Modified By,Observation Category 0,Observation Category 1,Jumlah,Keterangan,Pelanggaran,Perlu tindak lanjut,Satuan,Tindakan,Tipe temuan,Usia temuan
PB_Desember_2022_000005,Ground,18-Dec-22,18-Dec-22,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,7,18-Dec-22,8:55:27 AM,109.896855,-1.030828333,1/1/2023 15:11,smart smart,Aktivitas Manusia,Penggunaan Kawasan,1,,Ya,Ya,hektar,Diobservasi,Sawah,
PB_Agustus_2023_000004,Ground,18-Aug-23,18-Aug-23,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,8,18-Aug-23,7:54:42 AM,109.846355,-1.029585,9/5/2023 22:43,smart smart,Aktivitas Manusia,Penggunaan Kawasan,1,,Ya,Tidak,hektar,Diobservasi,Kebun karet,Diatas 1 tahun
PB_Agustus_2023_000004,Ground,18-Aug-23,18-Aug-23,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,3,18-Aug-23,7:39:39 AM,109.8468467,-1.027938333,9/5/2023 22:42,smart smart,Aktivitas Manusia,Penggunaan Kawasan,1,,Ya,Ya,hektar,Diobservasi,Kebun sawit,Diatas 1 tahun
PB_Agustus_2023_000004,Ground,18-Aug-23,18-Aug-23,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,5,18-Aug-23,7:43:42 AM,109.8466267,-1.028815,9/4/2023 15:50,smart smart,Aktivitas Manusia,Penggunaan Kawasan,1,,Ya,Tidak,hektar,Diobservasi,Kebun karet,Diatas 1 tahun
PB_Agustus_2023_000004,Ground,18-Aug-23,18-Aug-23,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,7,18-Aug-23,7:47:56 AM,109.8466317,-1.029,9/4/2023 15:50,smart smart,Aktivitas Manusia,Penggunaan Kawasan,1,,Ya,Tidak,batang,Diobservasi,Kebun pinang,Diatas 1 tahun
PB_Agustus_2023_000004,Ground,18-Aug-23,18-Aug-23,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,4,18-Aug-23,7:42:41 AM,109.8466867,-1.028753333,9/4/2023 15:50,smart smart,Aktivitas Manusia,Penggunaan Kawasan,1,,Ya,Tidak,hektar,Diobservasi,Kebun sawit,Diatas 1 tahun
PM_Februari_2023_000004,Ground,25-Feb-23,25-Feb-23,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,4,25-Feb-23,9:27:48 AM,109.88718,-1.072096667,11/9/2023 9:35,smart smart,Aktivitas Manusia,Penggunaan Kawasan,1,,Ya,Tidak,batang,Diobservasi,Kebun sawit,Sangat lama (>3bulan)
PB_Desember_2022_000002,Ground,15-Dec-22,15-Dec-22,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,25,15-Dec-22,11:39:25 AM,109.8764967,-1.022013333,1/1/2023 14:43,smart smart,Aktivitas Manusia,Penggunaan Kawasan,1,,Ya,Ya,unit,Diobservasi,Bangunan/pemukiman non-permanen,Diatas 1 tahun
PB_Feb_2023_000003,Ground,22-Feb-23,22-Feb-23,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,7,22-Feb-23,8:25:36 AM,109.8531517,-1.019851667,3/7/2023 9:26,smart smart,Aktivitas Manusia,Penggunaan Kawasan,1,,Ya,Tidak,hektar,Diobservasi,Lahan terbuka,Cukup lama (>1 bulan)
PB_Feb_2023_000003,Ground,22-Feb-23,22-Feb-23,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,19,22-Feb-23,9:24:27 AM,109.8546417,-1.02135,3/7/2023 14:04,smart smart,Aktivitas Manusia,Penggunaan Kawasan,2,,Ya,Ya,hektar,Diobservasi,Lahan terbuka,Cukup lama (>1 bulan)
