survey.area,transect,plot,loc,hab,l,w,c,area,N.stems,N.stems.oh.food,N.figs,D.all.stems,D.oh.food,per.oh.food,D.figs,N.fruit,per.fruit,N.oh.fruit,per.oh.fruit,,
sungai.paduan,1,1.1,padu.banjar,peat.swamp,100,10,s,0.1,51,42,1,510,420,82.35294118,10,0,0,0,0,,
sungai.paduan,1,1.2,padu.banjar,peat.swamp,100,10,s,0.1,27,13,0,270,130,48.14814815,0,0,0,0,0,,
sungai.paduan,1,1.3,padu.banjar,peat.swamp,100,10,s,0.1,41,33,0,410,330,80.48780488,0,0,0,0,0,,
sungai.paduan,1,1.4,padu.banjar,peat.swamp,100,10,s,0.1,25,17,0,250,170,68,0,0,0,0,0,0,
sungai.paduan,2,2.1,padu.banjar,peat.swamp,100,10,n,0.1,49,37,0,490,370,75.51020408,0,0,0,0,0,,
sungai.paduan,2,2.2,padu.banjar,peat.swamp,100,10,n,0.1,29,20,0,290,200,68.96551724,0,0,0,0,0,,
sungai.paduan,2,2.3,padu.banjar,peat.swamp,100,10,n,0.1,28,20,0,280,200,71.42857143,0,0,0,0,0,,
sungai.paduan,2,2.4,padu.banjar,peat.swamp,100,10,n,0.1,50,42,1,500,420,84,10,0,0,0,0,0,
sungai.paduan,3,3.1,padu.banjar,peat.swamp,100,10,e,0.1,22,16,0,220,160,72.72727273,0,0,0,0,0,,
sungai.paduan,3,3.2,padu.banjar,peat.swamp,100,10,e,0.1,12,10,0,120,100,83.33333333,0,1,8.333333333,1,8.333333333,,
sungai.paduan,3,3.3,padu.banjar,peat.swamp,100,10,e,0.1,27,21,1,270,210,77.77777778,10,0,0,0,0,,
sungai.paduan,3,3.4,padu.banjar,peat.swamp,100,10,e,0.1,44,34,0,440,340,77.27272727,0,0,0,0,0,2.083333333,
sungai.paduan,4,4.1,padu.banjar,peat.swamp,100,10,w,0.1,24,19,1,240,190,79.16666667,10,1,4.166666667,1,4.166666667,,
sungai.paduan,4,4.2,padu.banjar,peat.swamp,100,10,w,0.1,26,22,1,260,220,84.61538462,10,0,0,0,0,,
