plot,obs.date,obs,t.num,dist.tran,c,w,family,genus,species,dbh,daun.baru,kode.gugur,status,crop.size,oh.food
1.1,,,157,0,,0,Euphorbiaceae,Endospermum,diadenum,20.3,0,0,,,
1.1,,,158,2,s,0.5,Moraceae,Ficus,variegata,20.2,0,0,,,y
1.1,,,159,3.5,n,1.2,Euphorbiaceae,Macaranga,pruinosa,16.3,0,1,,,y
1.1,,,160,6,s,3,Euphorbiaceae,Macaranga,pruinosa,21.5,0,0,,,y
1.1,,,161,7,n,1.5,Euphorbiaceae,Macaranga,pruinosa,15.2,0,0,,,y
1.1,,,162,7.2,s,3.5,Euphorbiaceae,Macaranga,pruinosa,10.5,1,0,,,y
1.1,,,163,9,s,0.8,Euphorbiaceae,Macaranga,pruinosa,15.4,0,0,,,y
1.1,,,164,13.5,s,1.5,Euphorbiaceae,Macaranga,pruinosa,15.3,0,1,,,y
1.1,,,165,16,n,1,Euphorbiaceae,Macaranga,pruinosa,16.4,0,0,,,y
1.1,,,166,16.5,s,3.5,Euphorbiaceae,Macaranga,pruinosa,13.5,1,0,,,y
1.1,,,167,21,n,2.4,Lauraceae,Alseodaphne,bancana,28.6,0,0,,,
1.1,,,168,26,n,0.5,Euphorbiaceae,Macaranga,pruinosa,10.3,1,0,,,y
1.1,,,169,31,s,2,Euphorbiaceae,Macaranga,pruinosa,18.3,1,0,,,y
1.1,,,170,32,s,2,Euphorbiaceae,Macaranga,pruinosa,10.2,0,0,,,y
1.1,,,171,32,s,3.5,Euphorbiaceae,Endospermum,diadenum,21.2,1,1,,,
1.1,,,172,35,s,2,Euphorbiaceae,Endospermum,diadenum,31.6,0,0,,,
1.1,,,173,37,s,0.8,Euphorbiaceae,Macaranga,pruinosa,17.8,0,1,,,y
1.1,,,174,43.5,s,3.2,Lauraceae,Alseodaphne,bancana,32.5,0,0,,,
1.1,,,175,46,s,2.5,Sapotaceae,Madhuca,motleyana,42.8,1,0,,,y
1.1,,,176,47,n,1,Stemonuraceae,Stemonurus,secundiflorus,12.5,0,0,,,
1.1,,,177,49,n,1.5,Fabaceae,Dialium,indum,45.2,1,0,,,y
1.1,,,178,49,s,3,Sapindaceae,Nephelium,maingayi,43.6,1,0,,,y
1.1,,,179,54,s,3.5,Lauraceae,Alseodaphne,bancana,30.2,1,0,,,
1.1,,,180,55,s,1,Sapotaceae,Madhuca,motleyana,10,0,1,,,y
